switch_e,switch_c,host,connection,interval,link,hop,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte
2,6,20,54,4,27,8,44.74,6.76,5138,784.82
2,17,6,3,0,24,19,120.73,17.27,712,97.54
2,22,10,6,3,33,24,145.46,21,2077,282.65
2,38,12,3,4,51,40,156.17,22.09,1674,231.64
2,44,20,33,8,65,46,144.4,19.39,18968,2571.27
2,57,8,3,2,66,59,191.06,25.57,2123,286.18
2,15,14,10,0,30,17,280.98,40.88,2033,275.6
2,26,18,7,0,45,28,311.49,46.54,2104,300.77
2,26,18,51,6,45,28,112.75,15.47,19974,2749.18
2,33,20,22,7,54,35,116.71,16.95,6719,1043.01
2,40,2,1,7,43,42,89.68,11.59,821,111.98
2,56,8,4,8,65,58,137.73,18.75,2763,406.46
2,4,12,34,10,17,6,15.15,2.29,1881,330.35
2,13,18,1,7,32,15,97.3,15.45,588,103.46
2,13,18,76,9,32,15,45.57,6.18,9080,1240.05
2,27,20,15,4,48,29,161.71,23.12,5801,792.11
2,38,16,25,6,55,40,147.1,20.75,12274,1792.5
2,38,16,54,10,55,40,96.79,13.18,26027,3810.17
2,39,18,16,5,58,41,188.61,26.2,8546,1160.21
2,56,20,22,7,77,58,191.49,26.12,14920,2037.38
2,56,20,48,1,77,58,643.59,96.15,28943,4408.04
2,56,20,89,7,77,58,188.65,24.96,53365,7191.77
2,8,20,11,10,29,10,36.92,5.52,1421,198.88
2,8,20,60,2,29,10,92.8,14.44,6566,1009.82
2,8,20,67,5,29,10,48.99,6.94,9140,1270.92
2,27,10,22,7,38,29,91.39,12.27,8152,1103.25
2,32,16,19,4,49,34,159.59,23.84,6965,1094.81
2,41,18,14,0,60,43,411.68,75.71,2525,670.82
2,41,18,59,10,60,43,113.58,14.89,19747,2661.22
2,41,18,71,6,60,43,165.43,22.14,38145,5169.6
2,60,20,29,4,81,62,316.18,44.07,19382,2668.91
1,0,9,25,3,9,1,8.84,1.51,160,35.91
1,0,9,67,9,9,1,5.47,0.82,889,125.36
2,14,20,26,7,35,16,57.02,8.7,4530,736.5
2,14,20,44,7,35,16,56.43,8.29,8348,1270.41
2,27,6,3,8,34,29,85.54,11.84,1264,171.19
2,32,14,24,0,47,34,614.29,99.46,6170,1092.93
2,46,18,32,1,65,48,471.53,74.06,13799,2293.76
2,46,18,72,9,65,48,131.75,17.35,44289,6006.04
2,55,20,22,0,76,57,799.09,126.72,9219,1617.42
2,55,20,99,10,76,57,146.38,18.99,52783,7116.13
2,2,6,5,3,9,4,21.95,3.26,260,38.27
2,22,18,24,10,41,24,64.66,9.43,6450,1030.96
2,38,20,2,5,59,40,185.03,27.18,1276,178.91
2,38,20,42,1,59,40,437.55,68.1,15767,2568.73
2,48,6,4,9,55,50,119.35,16.36,2687,398.19
2,55,14,5,0,70,57,306.91,45.56,2584,407.02
2,5,20,86,7,26,7,25.91,3.79,6199,906.5
2,16,16,31,0,33,18,560.95,86.98,4290,693.48
2,26,18,32,6,45,28,90.21,14.44,7068,1381.2
2,32,20,7,6,53,34,147.29,22.04,2734,415.28
2,32,20,56,2,53,34,293,42.29,23463,3421.81
2,32,20,94,7,53,34,117.64,15.73,25798,3477.67
2,45,2,1,6,48,47,75.81,9.34,564,76.01
2,53,20,46,6,74,55,211.82,28.56,22180,2995.03
2,13,18,49,6,32,15,61.79,8.89,9724,1423.24
2,21,20,34,2,42,23,220.79,31.2,11141,1519.21
2,31,14,23,5,46,33,136.04,19.71,8857,1330.1
2,31,14,37,10,46,33,81.88,11.44,14720,2235.33
2,42,20,86,5,63,44,195.48,26.36,50339,6834.88
2,60,16,33,1,77,62,612.19,89.74,22548,3353.98
2,60,16,36,7,77,62,202.49,27.12,30897,4188.53
2,0,18,50,4,19,2,15.9,2.41,1218,164.14
2,21,16,24,2,38,23,196.71,28.79,3541,528.18
2,36,20,49,3,57,38,241.14,34.41,23394,3335.38
2,42,14,1,2,57,44,170.63,24.73,750,101.41
2,42,14,43,3,57,44,262.7,37.37,12978,1967.79
2,59,16,42,9,76,61,161.12,21.14,26193,3541.1
2,4,20,91,6,25,6,27.86,3.9,8036,1082.98
2,21,14,17,9,36,23,64.52,9.61,4000,657.36
2,38,18,54,9,57,40,109.22,14.72,18431,2584.27
2,48,20,12,5,69,50,212.71,30.26,7508,1060.48
2,48,20,53,10,69,50,128.7,17.07,18524,2573.78
2,48,20,73,10,69,50,133.3,17.43,40547,5464.34
2,52,12,23,3,65,54,286.63,39.4,15009,2055.38
