switch_e,switch_c,host,connection,interval,link,hop,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte
6,8,12,4,2,60,2.818181818,58.15,8.75,355,60.83
6,8,12,4,5,60,2.818181818,43.99,6.54,350,59.24
6,8,12,16,2,60,2.818181818,44.27,6.56,322,58.41
6,8,12,16,5,60,2.818181818,27.51,3.86,322,55.59
6,8,24,8,2,72,2.739130435,75.91,11.6,652,110.08
6,8,24,8,5,72,2.739130435,49.84,7.49,762,130.08
6,8,24,32,2,72,2.739130435,46.27,6.79,665,114.16
6,8,24,32,5,72,2.739130435,29.79,4.28,706,120.75
6,8,48,16,2,96,2.70212766,83,12.85,852,146.39
6,8,48,16,5,96,2.70212766,48.68,7.37,728,125.45
4,8,8,16,5,40,4.428571429,80.55,15.67,1742,289.1
4,8,32,16,5,64,4.096774194,94.39,17.19,1746,287.14
8,16,16,4,2,144,4.733333333,214.88,36.85,12163,2110.1
8,16,16,4,2,144,4.733333333,109.36,18.83,1061,179.5
8,16,16,4,5,144,4.733333333,111.25,18.96,1798,312.38
8,16,16,16,2,144,4.733333333,96.98,15.75,1501,247.71
8,16,16,16,5,144,4.733333333,100.09,17.37,1410,230.79
8,16,64,16,2,192,4.555555556,85.25,13.41,1720,275.89
8,16,64,16,5,192,4.555555556,96.13,15.75,1796,288.12
12,16,24,4,2,216,2.913043478,129.21,19.13,843,121.53
12,16,24,4,5,216,2.913043478,101.93,15.1,848,122.37
12,16,24,16,2,216,2.913043478,97.6,14.28,847,122.2
12,16,24,16,5,216,2.913043478,68.99,9.92,842,121.36
12,16,48,8,2,240,2.872340426,160.93,24.75,1524,243.89
12,16,48,8,5,240,2.872340426,108.69,16.36,1664,266.23
12,16,48,32,2,240,2.872340426,101.99,15.19,1608,257.3
12,16,48,32,5,240,2.872340426,75.04,11.17,1630,260.71
12,16,96,16,2,288,2.852631579,180.51,27.98,1659,266.22
12,16,96,16,5,288,2.852631579,109.44,16.65,1876,313.34
1,0,5,11,10,5,1,3.09,0.44,127,17.85
2,60,12,12,9,73,62,158.74,21.86,9073,1317.44
2,25,20,71,2,46,27,261.06,36.31,19099,2591.4
2,1,16,33,4,18,3,19.77,3,1314,183.41
2,15,14,10,0,30,17,280.98,40.88,2033,275.6
2,46,18,11,2,65,48,293.38,43.4,5663,851
1,0,10,12,3,10,1,7.75,1.2,40,6.16
4,3,40,55,6,46,3.56,28.21,4.47,1506,202.71
2,27,20,29,8,48,29,91.66,13.07,10083,1499.4
1,0,10,56,2,10,1,9.9,1.42,576,77.63
32,31,128,5,0,190,9.13,621.55,101.55,4926,817.54
2,55,18,20,2,74,57,357.2,54.26,11177,1810.52
4,3,36,28,3,42,3.57,48.83,8.05,722,97.85
1,0,10,15,0,10,1,22.66,3.37,97,14.88
2,41,10,25,5,52,43,176.3,24.29,13179,1841.31
16,15,144,68,7,174,7.17,113.9,18.84,2755,429.56
2,9,14,3,2,24,11,84.17,13.17,490,71.8
2,7,16,60,1,24,9,131.9,20.72,3641,584.2
2,1,20,19,7,22,2.05,12.67,2.11,380,60.35
1,0,7,7,7,7,1,4.77,0.72,32,4.83
2,5,10,10,5,16,7,32.89,4.84,864,123.61
2,0,16,33,7,17,2,9.71,1.57,859,135.97
1,0,10,37,5,10,1,5.76,0.83,344,46.36
8,7,56,13,5,70,5.33,99.6,16.39,1692,287.79
32,31,320,32,6,382,9.09,508.75,93.67,11391,1921.3
4,3,40,57,7,46,3.56,26.23,4.1,2162,293.62
2,1,18,56,9,20,2.06,9.4,1.38,1553,210.63
2,45,16,52,2,62,47,391.56,55.87,28244,4012.11
16,15,48,7,8,78,7.26,157.95,25,2431,416.4
